name,ONS_code,county,region,country,winner_2019,winner_2024,MP_name,winner_votes,percentage_of_total_votes,margin_of_total_votes,Labour,Conservative,Reform UK,Liberal Democrat,Green,Scottish National Party,Plaid Cymru,Sinn Fein,Democratic Unionist Party,Alliance Party,Ulster Unionist Party,Social Democratic and Labour Party,Traditional Unionist Voice,Independent,Other,total_votes,turnout
Aldershot,E14001063,Hampstead,South East,England,Conservative,Labour,Alex Baker,19764,0.407,0.117,19764,14081,8210,4052,2155,0,0,0,0,0,0,0,0,0,282,48544,0.618
Aldridge-Brownhills,E14001064,West Midlands,West Midlands,England,Conservative,Conservative,Wendy Morton,15901,0.388,0.103,11670,15901,9903,1755,1746,0,0,0,0,0,0,0,0,0,0,40975,0.578
Altrincham and Sale West,E14001065,Greater Manchester,North West,England,Conservative,Labour,Connor Rand,20798,0.404,0.0811,20798,16624,4961,4727,3699,0,0,0,0,0,0,0,0,0,643,51452,0.695
Amber Valley,E14001066,Derbyshire,East Midlands,England,Conservative,Labour,Linsey Farnsworth,15746,0.37,0.0836,15746,10725,12192,1590,2278,0,0,0,0,0,0,0,0,0,0,42531,0.603
Arundel and South Downs,E14001067,West Sussex,South East,England,Conservative,Conservative,Andrew Griffith,22001,0.402,0.222,9782,22001,7391,9867,5515,0,0,0,0,0,0,0,0,0,184,54740,0.702
Ashfield,E14001068,Nottinghamshire,East Midlands,England,Conservative,Reform UK,Lee Anderson,17062,0.428,0.138,11554,3271,17062,619,1100,0,0,0,0,0,0,0,0,0,6276,39881,0.581
Ashford,E14001069,Kent,South East,England,Conservative,Labour,Sojan Joseph,15262,0.325,0.0379,15262,13483,10141,2445,4355,0,0,0,0,0,0,0,0,0,1289,46975,0.616
Ashton-under-Lyne,E14001070,Greater Manchester,North West,England,Labour,Labour,Angela Rayner,15575,0.439,0.192,15575,4375,8784,1411,2481,0,0,0,0,0,0,0,0,0,2835,35461,0.499
Aylesbury,E14001071,Buckinghamshire,South East,England,Conservative,Labour,Laura Kyrke-Smith,15081,0.302,0.0126,15081,14451,6746,10440,2590,0,0,0,0,0,0,0,0,0,632,49940,0.631
Banbury,E14001072,Oxfordshire,South East,England,Conservative,Labour,Sean Woodcock,18468,0.383,0.0676,18468,15212,6284,4352,2615,0,0,0,0,0,0,0,0,0,1247,48178,0.658
Barking,E14001073,London,London,England,Labour,Labour,Nesil Caliskan,16227,0.445,0.303,16227,4294,5173,1015,4988,0,0,0,0,0,0,0,0,0,4780,36477,0.457
Barnsley North,E14001074,South Yorkshire,Yorkshire and the Humber,England,Labour,Labour,Dan Jarvis,18610,0.504,0.211,18610,3083,10799,1336,1805,0,0,0,0,0,0,0,0,0,1261,37026,0.473
Barnsley South,E14001075,South Yorkshire,Yorkshire and the Humber,England,Labour,Labour,Stephanie Peacock,16399,0.467,0.135,16399,3247,11651,1172,1521,0,0,0,0,0,0,0,0,0,1092,35109,0.463
Barrow and Furness,E14001076,Cumbria,North West,England,Conservative,Labour,Michelle Scrogham,18537,0.439,0.126,18537,13213,7035,1680,1466,0,0,0,0,0,0,0,0,0,290,42221,0.563
Basildon and Billericay,E14001077,Essex,East England,England,Conservative,Conservative,Richard Holden,12905,0.306,0.000475,12885,12905,11354,2292,2123,0,0,0,0,0,0,0,0,0,565,42124,0.554
